F1: mean=4.883732e-43, std=2.533180e-42
F2: mean=1.476490e-26, std=7.713397e-26
F3: mean=1.620585e+04, std=4.991969e+03
F4: mean=3.202467e+01, std=7.853014e+00
F5: mean=2.821409e+01, std=5.809273e-01
F6: mean=1.000000e-01, std=3.000000e-01
F7: mean=7.645327e-03, std=7.968254e-03
F8: mean=-5.139310e+03, std=6.111539e+02
F9: mean=2.573846e+01, std=5.294905e+01
F10: mean=5.299465e-15, std=2.671762e-15
F11: mean=1.510343e-02, std=3.550510e-02
F12: mean=2.480058e+00, std=4.958478e+00
F13: mean=7.468731e+00, std=1.307922e+01
F14: mean=1.361691e+00, std=7.882570e-01
F15: mean=8.769068e-04, std=1.204752e-03
F16: mean=-1.031628e+00, std=4.986208e-15
F17: mean=3.978874e-01, std=7.229712e-14
F18: mean=3.000000e+00, std=1.432007e-14
F19: mean=-3.862782e+00, std=1.121661e-06
F20: mean=-3.256015e+00, std=6.457636e-02
F21: mean=-6.576686e+00, std=2.787854e+00
F5: mean=2.821409e+01, std=5.809273e-01
F6: mean=1.000000e-01, std=3.000000e-01
F7: mean=7.645327e-03, std=7.968254e-03
F8: mean=-5.139310e+03, std=6.111539e+02
F9: mean=2.573846e+01, std=5.294905e+01
F10: mean=5.299465e-15, std=2.671762e-15
F11: mean=1.510343e-02, std=3.550510e-02
F12: mean=2.480058e+00, std=4.958478e+00
F13: mean=7.468731e+00, std=1.307922e+01
F14: mean=1.361691e+00, std=7.882570e-01
F15: mean=8.769068e-04, std=1.204752e-03
F16: mean=-1.031628e+00, std=4.986208e-15
F17: mean=3.978874e-01, std=7.229712e-14
F18: mean=3.000000e+00, std=1.432007e-14
F19: mean=-3.862782e+00, std=1.121661e-06
F20: mean=-3.256015e+00, std=6.457636e-02
F21: mean=-6.576686e+00, std=2.787854e+00
F6: mean=1.000000e-01, std=3.000000e-01
F7: mean=7.645327e-03, std=7.968254e-03
F8: mean=-5.139310e+03, std=6.111539e+02
F9: mean=2.573846e+01, std=5.294905e+01
F10: mean=5.299465e-15, std=2.671762e-15
F11: mean=1.510343e-02, std=3.550510e-02
F12: mean=2.480058e+00, std=4.958478e+00
F13: mean=7.468731e+00, std=1.307922e+01
F14: mean=1.361691e+00, std=7.882570e-01
F15: mean=8.769068e-04, std=1.204752e-03
F16: mean=-1.031628e+00, std=4.986208e-15
F17: mean=3.978874e-01, std=7.229712e-14
F18: mean=3.000000e+00, std=1.432007e-14
F19: mean=-3.862782e+00, std=1.121661e-06
F20: mean=-3.256015e+00, std=6.457636e-02
F21: mean=-6.576686e+00, std=2.787854e+00
F8: mean=-5.139310e+03, std=6.111539e+02
F9: mean=2.573846e+01, std=5.294905e+01
F10: mean=5.299465e-15, std=2.671762e-15
F11: mean=1.510343e-02, std=3.550510e-02
F12: mean=2.480058e+00, std=4.958478e+00
F13: mean=7.468731e+00, std=1.307922e+01
F14: mean=1.361691e+00, std=7.882570e-01
F15: mean=8.769068e-04, std=1.204752e-03
F16: mean=-1.031628e+00, std=4.986208e-15
F17: mean=3.978874e-01, std=7.229712e-14
F18: mean=3.000000e+00, std=1.432007e-14
F19: mean=-3.862782e+00, std=1.121661e-06
F20: mean=-3.256015e+00, std=6.457636e-02
F21: mean=-6.576686e+00, std=2.787854e+00
F11: mean=1.510343e-02, std=3.550510e-02
F12: mean=2.480058e+00, std=4.958478e+00
F13: mean=7.468731e+00, std=1.307922e+01
F14: mean=1.361691e+00, std=7.882570e-01
F15: mean=8.769068e-04, std=1.204752e-03
F16: mean=-1.031628e+00, std=4.986208e-15
F17: mean=3.978874e-01, std=7.229712e-14
F18: mean=3.000000e+00, std=1.432007e-14
F19: mean=-3.862782e+00, std=1.121661e-06
F20: mean=-3.256015e+00, std=6.457636e-02
F21: mean=-6.576686e+00, std=2.787854e+00
F15: mean=8.769068e-04, std=1.204752e-03
F16: mean=-1.031628e+00, std=4.986208e-15
F17: mean=3.978874e-01, std=7.229712e-14
F18: mean=3.000000e+00, std=1.432007e-14
F19: mean=-3.862782e+00, std=1.121661e-06
F20: mean=-3.256015e+00, std=6.457636e-02
F21: mean=-6.576686e+00, std=2.787854e+00
F17: mean=3.978874e-01, std=7.229712e-14
F18: mean=3.000000e+00, std=1.432007e-14
F19: mean=-3.862782e+00, std=1.121661e-06
F20: mean=-3.256015e+00, std=6.457636e-02
F21: mean=-6.576686e+00, std=2.787854e+00
F18: mean=3.000000e+00, std=1.432007e-14
F19: mean=-3.862782e+00, std=1.121661e-06
F20: mean=-3.256015e+00, std=6.457636e-02
F21: mean=-6.576686e+00, std=2.787854e+00
F19: mean=-3.862782e+00, std=1.121661e-06
F20: mean=-3.256015e+00, std=6.457636e-02
F21: mean=-6.576686e+00, std=2.787854e+00
F20: mean=-3.256015e+00, std=6.457636e-02
F21: mean=-6.576686e+00, std=2.787854e+00
F21: mean=-6.576686e+00, std=2.787854e+00
F22: mean=-7.905297e+00, std=2.862545e+00
F23: mean=-6.113703e+00, std=2.860580e+00

===== CEC-2022 F1–F5 Results =====

CEC2022_F1: mean=8.174314e+03, std=3.177426e+03, f*=3.000000e+02
CEC2022_F2: mean=7.429658e+02, std=1.054322e+02, f*=4.000000e+02
CEC2022_F3: mean=6.002849e+02, std=1.305186e-01, f*=6.000000e+02
CEC2022_F4: mean=1.050198e+03, std=5.068542e+01, f*=8.000000e+02
CEC2022_F5: mean=9.037182e+02, std=1.150381e+00, f*=9.000000e+02
